End Date;End Time;CO; PM10; NO; NO2; NOXasNO2; O3; PM25; SO2
31/12/2020;01:00:00;0.137671;16.275;2.29352;35.60246;39.11915;20.88833;13.16;1.93091
31/12/2020;02:00:00;0.14665;14.775;6.49111;44.37741;54.3303;10.22796;12.382;1.51401
31/12/2020;03:00:00;0.167599;14.225;3.44029;39.00891;44.28394;11.22581;12.123;1.11905
31/12/2020;04:00:00;0.137671;14.375;1.88242;29.15205;32.03838;21.75313;12.264;1.18488
31/12/2020;05:00:00;0.143658;13.675;2.3368;25.50641;29.08945;26.39313;11.392;1.05322
31/12/2020;06:00:00;0.113728;12.9;3.31046;30.56111;35.63708;22.10238;10.826;1.11905
31/12/2020;07:00:00;0.236435;13.65;9.50947;37.30021;51.88119;15.76603;10.755;1.31653
31/12/2020;08:00:00;0.2095;14.225;9.7042;35.70209;50.58166;16.11528;10.542;0.85574
31/12/2020;09:00:00;0.131686;15.4;14.73481;37.53514;60.1282;16.06539;12.524;1.31653
31/12/2020;10:00:00;0.167599;16.4;11.55417;28.61706;46.3332;25.74453;14.269;1.38235
31/12/2020;11:00:00;0.152636;14.375;12.88484;28.72594;48.48242;29.13722;12.406;1.11905
31/12/2020;12:00:00;0.077814;8.85;7.69196;21.99358;33.78775;42.70798;7.028;1.11905
31/12/2020;13:00:00;0.107743;7.475;7.72441;22.99343;34.83737;45.35228;6.109;1.71149
31/12/2020;14:00:00;0.122707;11.2;7.6595;27.49137;39.23578;37.02024;9.717;1.71149
31/12/2020;15:00:00;0.221472;16.375;10.09367;38.25378;53.73052;23.49937;14.434;1.31653
31/12/2020;16:00:00;0.200522;15.825;7.10776;34.5851;45.48351;23.84862;14.127;1.11905
31/12/2020;17:00:00;0.254393;17.375;8.5358;35.0445;48.13255;19.05894;15.731;1.18488
31/12/2020;18:00:00;0.248407;19.2;6.55602;32.83204;42.88445;17.26281;17.972;0.92157
31/12/2020;19:00:00;0.248407;28.9;6.55602;33.08194;43.13436;14.86797;26.651;0.9874
31/12/2020;20:00:00;0.278336;29.025;6.52356;32.08209;42.08474;15.76603;26.604;1.05322
31/12/2020;21:00:00;0.191542;23.1;4.02449;24.31816;30.48895;22.95055;21.038;0.92157
31/12/2020;22:00:00;0.224464;21.65;4.05694;22.46904;28.6896;25.84432;19.741;0.9874
31/12/2020;23:00:00;0.245415;16.675;3.47274;19.76611;25.0909;26.99184;14.811;0.78992
31/12/2020;24:00:00;0.054671;9.1;1.45301;10.75977;12.98769;60.66928;7.6;0.88221
31/12/2019;01:00:00;0.057549;7.7;1.27689;17.32074;19.27861;49.36031;2.7;0.17644
31/12/2019;02:00:00;0.086323;5.6;5.58088;32.08004;40.63727;35.87271;7.6;0.46316
31/12/2019;03:00:00;0.11222;5.3;3.33532;32.63139;37.74548;31.98109;3.8;0.39699
31/12/2019;04:00:00;0.11222;8.7;6.14228;42.07615;51.49417;16.56431;6.8;0.39699
31/12/2019;05:00:00;0.086323;11.4;7.0339;41.77441;52.55957;23.05034;8.5;0.52933
31/12/2019;06:00:00;0.181278;13.2;35.46669;51.85378;106.23527;2.54452;8.2;0.92632
31/12/2019;07:00:00;0.471898;13.9;74.69799;55.16716;169.70248;1.14753;8.6;1.32331
31/12/2019;08:00:00;0.40284;15.9;83.54815;68.84081;196.94619;2.34495;10.4;1.65414
